student_id,topic,quiz_score,attempts,time_spent_minutes,last_asked_intent
1,Linear Regression,68.66,1,15,Doubt clarification
1,Linear Regression,77.02,1,20,Doubt clarification
1,Backpropagation,56.24,1,39,Revision
1,Neural Networks,57.51,3,9,Revision
1,Optimization Algorithms,84.52,1,50,Revision
1,RNNs,64.24,1,32,Doubt clarification
1,Backpropagation,53.98,4,5,Example
1,Linear Regression,49.06,4,56,Explanation
1,CNNs,60.78,1,10,Revision
1,CNNs,58.97,1,24,Revision
1,Gradient Descent,46.26,3,32,Example
2,Neural Networks,68.32,1,8,Example
2,Linear Regression,81.85,1,31,Revision
2,Backpropagation,75.41,1,20,Example
2,Gradient Descent,57.31,4,11,Example
2,CNNs,94.46,1,39,Example
2,Gradient Descent,100.0,1,43,Revision
2,Optimization Algorithms,50.59,4,45,Example
2,Gradient Descent,82.89,1,42,Explanation
2,Optimization Algorithms,57.86,2,13,Doubt clarification
2,Gradient Descent,65.86,1,49,Example
2,Optimization Algorithms,79.85,1,42,Explanation
2,Backpropagation,66.88,1,5,Explanation
2,Linear Regression,55.95,4,36,Example
2,Neural Networks,69.87,1,14,Example
2,CNNs,90.33,1,14,Explanation
2,Gradient Descent,78.82,1,32,Doubt clarification
3,Linear Regression,65.67,1,10,Explanation
3,Optimization Algorithms,53.61,3,40,Explanation
3,Optimization Algorithms,67.56,1,32,Explanation
3,RNNs,63.03,1,42,Explanation
3,Neural Networks,79.68,1,44,Example
3,CNNs,65.01,1,59,Explanation
3,CNNs,71.91,1,20,Explanation
3,Optimization Algorithms,35.51,1,42,Explanation
3,CNNs,76.14,1,16,Example
3,Gradient Descent,76.48,1,45,Revision
3,Backpropagation,71.83,1,26,Revision
4,Optimization Algorithms,65.76,1,29,Example
4,Optimization Algorithms,67.4,1,19,Explanation
4,Backpropagation,60.98,1,13,Revision
4,Backpropagation,60.62,1,6,Example
4,Backpropagation,85.23,1,53,Explanation
4,Gradient Descent,55.33,1,16,Example
4,Linear Regression,80.93,1,37,Doubt clarification
4,Optimization Algorithms,60.45,1,23,Doubt clarification
4,Backpropagation,66.63,1,55,Revision
4,RNNs,78.26,1,7,Doubt clarification
5,RNNs,76.8,1,5,Explanation
5,Neural Networks,81.53,1,21,Doubt clarification
5,Linear Regression,62.45,1,29,Revision
5,Linear Regression,55.06,3,27,Example
5,CNNs,63.0,1,5,Revision
5,CNNs,84.03,1,35,Revision
5,CNNs,79.33,1,24,Example
5,Linear Regression,70.28,1,56,Doubt clarification
5,Neural Networks,56.6,4,34,Doubt clarification
5,Backpropagation,42.39,1,37,Explanation
5,Linear Regression,96.62,1,23,Doubt clarification
5,RNNs,74.15,1,59,Explanation
6,CNNs,43.23,4,54,Doubt clarification
6,Gradient Descent,56.1,4,34,Revision
6,CNNs,57.92,4,24,Explanation
